RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE SGT,TOTAL SG:TEE,MEASURED ROUNDS
143,139,Camilo Villegas,58,-0.155,-5.568,36
144,132,Patton Kizzire,68,-0.184,-10.694,58
145,145,Matthew Wolff,46,-0.206,-6.99,34
146,T146,Harry Higgs,64,-0.209,-10.442,50
147,155,Sam Ryder,66,-0.212,-11.03,52
148,148,Dylan Wu,53,-0.213,-7.041,33
149,149,Joshua Creel,35,-0.217,-4.994,23
150,150,Ian Poulter,45,-0.219,-7.88,36
151,151,Dawie van der Walt,44,-0.229,-6.413,28
152,152,Andrew Novak,54,-0.23,-7.365,32
T153,T146,Matt Kuchar,59,-0.232,-12.042,52
T153,153,Roger Sloan,54,-0.232,-9.992,43
155,154,Mark Hubbard,48,-0.235,-7.283,31
156,158,Charley Hoffman,51,-0.24,-10.063,42
157,159,Chez Reavie,65,-0.261,-13.851,53
158,160,Jim Knous,35,-0.262,-4.724,18
159,161,Chase Seiffert,37,-0.267,-5.074,19
160,156,Francesco Molinari,45,-0.269,-10.238,38
161,166,Andrew Putnam,66,-0.271,-14.351,53
162,163,Henrik Norlander,56,-0.274,-11.524,42
163,165,Michael Thompson,64,-0.283,-15.279,54
164,167,Peter Malnati,79,-0.29,-18.242,63
165,T169,Chad Ramey,65,-0.292,-13.134,45
166,172,William McGirt,32,-0.297,-9.193,31
167,168,Graeme McDowell,44,-0.316,-9.152,29
168,T169,Sung Kang,66,-0.317,-14.589,46
169,171,Bill Haas,78,-0.334,-17.393,52
170,173,Brendon Todd,65,-0.346,-16.585,48
171,162,Mackenzie Hughes,57,-0.348,-14.63,42
172,174,Kevin Chappell,43,-0.35,-9.803,28
173,T175,Zach Johnson,48,-0.355,-14.575,41
T174,T177,Kelly Kraft,47,-0.366,-12.093,33
T174,T177,Charl Schwartzel,45,-0.366,-11.342,31
176,179,Matthias Schwab,54,-0.368,-12.874,35
177,184,Justin Lower,52,-0.371,-11.119,30
178,180,Hank Lebioda,60,-0.374,-16.44,44
T179,T185,Lucas Herbert,45,-0.4,-12.813,32
T179,164,Nick Watney,60,-0.4,-18.399,46
181,181,Pat Perez,62,-0.402,-20.509,51
182,182,Austin Cook,47,-0.406,-11.788,29
183,T175,Brandt Snedeker,53,-0.41,-16.821,41
184,183,Max McGreevy,54,-0.412,-14.824,36
185,T185,Brett Drewitt,42,-0.414,-9.93,24
186,187,Martin Trainer,62,-0.415,-18.269,44
187,188,Richy Werenski,50,-0.42,-15.111,36
188,189,Brian Stuard,75,-0.474,-24.162,51
189,190,Bronson Burgoon,37,-0.488,-13.178,27
190,192,Patrick Reed,65,-0.529,-24.85,47
191,191,Jimmy Walker,41,-0.565,-18.642,33
192,193,David Skinns,48,-0.582,-17.454,30
193,194,Jonathan Byrd,39,-0.597,-13.742,23
194,195,Chesson Hadley,58,-0.599,-23.979,40
195,196,Ben Kohles,47,-0.611,-16.5,27
196,197,Kevin Na,42,-0.633,-21.509,34
197,198,Stephan Jaeger,65,-0.766,-39.089,51
198,199,Matt Wallace,38,-0.785,-22.771,29
199,200,Brian Gay,39,-0.821,-22.981,28
200,201,Luke Donald,51,-0.845,-32.111,38
201,202,Seung-Yul Noh,47,-1.165,-32.621,28
202,203,Wesley Bryan,37,-1.214,-30.349,25
